Category,Subcategory,subcategory_description_de
krankheit,arzneimittel_schwangere_SGBV,"Versorgung mit Arznei-, Verband-, Heil- und Hilfsmitteln während Schwangerschaft und Entbindung (gesetzliche Krankenkasse)"
kinder_familie,arzneimittel_schwangere_SGBV,"Versorgung mit Arznei-, Verband-, Heil- und Hilfsmitteln während Schwangerschaft und Entbindung (gesetzliche Krankenkasse)"
krankheit,entbindung_SGBV,Ambulante oder stationäre Entbindung (gesetzliche Krankenkasse)
kinder_familie,entbindung_SGBV,Ambulante oder stationäre Entbindung (gesetzliche Krankenkasse)
krankheit,haeusliche_pflege_SGBV,Wegen Schwangerschaft oder Entbindung erforderliche häusliche Pflege (gesetzliche Krankenkasse)
kinder_familie,haeusliche_pflege_SGBV,Wegen Schwangerschaft oder Entbindung erforderliche häusliche Pflege (gesetzliche Krankenkasse)
krankheit,haushaltshilfe_SGBV,Wegen Schwangerschaft oder Entbindung erforderliche Haushaltshilfe (gesetzliche Krankenkasse)
kinder_familie,haushaltshilfe_SGBV,Wegen Schwangerschaft oder Entbindung erforderliche Haushaltshilfe (gesetzliche Krankenkasse)
kinder_familie,mutterschaftsgeld_SGBV,Mutterschaftsgeld (gesetzliche Krankenkasse)
krankheit,gesundheitsuntersuchungen_SGBV,"Gesundheitsuntersuchungen, z. B. Krebsfrüherkennung (gesetzliche Krankenkasse)"
krankheit,gesundheitsuntersuchungen_kiju_SGBV,Gesundheitsuntersuchungen für Kinder und Jugendliche (gesetzliche Krankenkasse)
kinder_familie,gesundheitsuntersuchungen_kiju_SGBV,Gesundheitsuntersuchungen für Kinder und Jugendliche (gesetzliche Krankenkasse)
krankheit,krankenbehandlung_SGBV,Krankenbehandlung (gesetzliche Krankenversicherung)
krankheit,kieferorthopaede_SGBV,Kieferorthopädische Behandlung (gesetzliche Krankenversicherung)
krankheit,arznei_verbandmittel_SGBV,Arznei- und Verbandmittel (gesetzliche Krankenversicherung)
krankheit,heilmittel_SGBV,Heilmittel (gesetzliche Krankenversicherung)
krankheit,hilfsmittel_SGBV,Hilfsmittel (gesetzliche Krankenversicherung)
krankheit,reha_SGBV,Ambulante Rehabilitationsleistungen (gesetzliche Krankenversicherung)
krankheit,krankengeld_SGBV,Krankengeld (gesetzliche Krankenversicherung)
krankheit,zahnersatz_SGBV,Zahnersatz (gesetzliche Krankenversicherung)
krankheit,aerztliche_behandlung_SGBVI,Ärztliche Behandlung (gesetzliche Rentenversicherung)
rente,aerztliche_behandlung_SGBVI,Ärztliche Behandlung (gesetzliche Rentenversicherung)
krankheit,arznei_verbandsmittel_SGBVI,Arznei- und Verbandsmittel (gesetzliche Rentenversicherung)
rente,arznei_verbandsmittel_SGBVI,Arznei- und Verbandsmittel (gesetzliche Rentenversicherung)
krankheit,heilmittel_SGBVI,Heilmittel (gesetzliche Rentenversicherung)
rente,heilmittel_SGBVI,Heilmittel (gesetzliche Rentenversicherung)
